State,Value
        X,0.0
       OX,0.0
       X ,0.0
       XO,0.0
      O X,0.0
      OX ,0.0
      OXX,0.0
      X  ,0.0
      X O,0.0
      XO ,0.0
      XOX,0.0
      XXO,0.0
     O  X,0.0
     O X ,0.0
     O XX,0.0
     OX  ,0.0
     OX X,0.0
     OXOX,0.0
     OXX ,0.0
     OXXO,0.0
     X   ,0.0
     X  O,0.0
     X O ,0.0
     X OX,0.0
     X XO,0.0
     XO  ,0.0
     XO X,0.0
     XOOX,1.0
     XOX ,0.0
     XOXO,0.0
     XX O,0.0
     XXO ,0.0
     XXOO,0.0
    O   X,0.0
    O  X ,0.0
    O  XX,0.0
    O X  ,0.0
    O X X,0.0
    O XOX,0.0
    O XX ,0.0
    O XXO,0.0
    OOX X,0.0
    OOXX ,0.0
    OX   ,0.0
    OX  X,0.0
    OX OX,0.0
    OX X ,0.0
    OX XO,0.0
    OXO X,0.0
    OXOX ,0.0
    OXX  ,0.0
    OXX O,0.0
    OXXO ,0.0
    OXXOX,0.0
    OXXXO,0.0
    X    ,0.0
    X   O,0.0
    X  O ,0.0
    X  OX,0.0
    X  XO,0.0
    X O  ,0.0
    X O X,0.0
    X OOX,1.0
    X OX ,0.0
    X X O,0.0
    X XO ,0.0
    X XOO,1.0
    XO   ,0.0
    XO  X,0.0
    XO OX,0.0
    XO X ,0.0
    XO XO,0.0
    XOO X,1.0
    XOOX ,0.0
    XOX  ,0.0
    XOX O,1.0
    XOXO ,1.0
    XOXXO,-1.0
    XX  O,0.0
    XX O ,0.0
    XX OO,0.0
    XXO  ,0.0
    XXO O,1.0
    XXOO ,0.0
   O    X,0.0
   O   X ,0.0
   O   XX,0.0
   O  OXX,0.0
   O  X  ,0.0
   O  X X,0.0
   O  XOX,0.0
   O  XX ,0.0
   O O XX,0.0
   O OX X,0.0
   O OXX ,0.0
   O X   ,0.0
   O X  X,0.0
   O X OX,0.0
   O X X ,0.0
   O X XO,0.0
   O XO X,0.0
   O XOX ,0.0
   O XX  ,0.0
   O XX O,0.0
   O XXO ,0.0
   O XXOX,0.0
   OO X X,0.0
   OOX  X,0.0
   OOX XX,0.0
   OOXOXX,1.0
   OOXX  ,0.0
   OOXX X,0.0
   OOXXXO,0.0
   OX    ,0.0
   OX   X,0.0
   OX  OX,0.0
   OX  X ,0.0
   OX  XO,0.0
   OX O X,1.0
   OX OX ,1.0
   OX OXX,-1.0
   OX X  ,0.0
   OX X O,0.0
   OX XO ,0.0
   OXO  X,1.0
   OXO X ,0.0
   OXO XX,0.0
   OXOX  ,1.0
   OXX   ,0.0
   OXX XO,0.0
   OXXO  ,0.0
   OXXO X,0.0
   OXXOXO,0.0
   OXXX O,0.0
   X     ,0.0
   X    O,0.0
   X   O ,0.0
   X   OX,0.0
   X   XO,0.0
   X  O  ,0.0
   X  O X,0.0
   X  OOX,0.0
   X  OX ,0.0
   X  OXO,0.0
   X  X O,0.0
   X  XO ,0.0
   X  XOO,1.0
   X O   ,0.0
   X O  X,0.0
   X O OX,0.0
   X O X ,0.0
   X OO X,0.0
   X OOX ,0.0
   X OX  ,0.0
   X OX O,0.0
   X OXXO,0.0
   X X  O,0.0
   X X O ,0.0
   X X OO,0.0
   X XO  ,0.0
   X XO O,1.0
   X XOO ,0.0
   X XOXO,0.0
   X XXOO,0.0
   XO    ,0.0
   XO   X,0.0
   XO  OX,0.0
   XO  X ,0.0
   XO  XO,0.0
   XO OX ,0.0
   XO X  ,0.0
   XO XXO,0.0
   XOO  X,0.0
   XOO XX,0.0
   XOOXXO,0.0
   XOXOXO,0.0
   XOXXO ,-1.0
   XOXXOO,0.0
   XX   O,0.0
   XX  O ,0.0
   XX O  ,0.0
   XX O O,1.0
   XX OO ,0.0
   XX OOX,0.0
   XXO   ,0.0
   XXO  O,0.0
   XXO O ,0.0
   XXO OX,0.0
   XXO XO,0.0
   XXOO  ,0.0
   XXOOOX,0.0
   XXOX O,0.0
   XXX OO,1.0
   XXXO O,1.0
  O     X,0.0
  O    X ,0.0
  O    XX,0.0
  O   X  ,0.0
  O   X X,0.0
  O   XOX,0.0
  O   XX ,0.0
  O   XXO,0.0
  O  OX X,0.0
  O  OXXX,1.0
  O  X   ,0.0
  O  X  X,0.0
  O  X OX,0.0
  O  X X ,0.0
  O  X XO,0.0
  O  XO X,0.0
  O  XX  ,0.0
  O  XX O,0.0
  O  XXOX,0.0
  O  XXXO,0.0
  O O  XX,0.0
  O O X X,0.0
  O O XX ,0.0
  O OXX  ,0.0
  O OXX X,0.0
  O OXXOX,0.0
  O OXXX ,0.0
  O OXXXO,0.0
  O X    ,0.0
  O X   X,0.0
  O X  OX,0.0
  O X  X ,0.0
  O X  XO,1.0
  O X O X,0.0
  O X OX ,0.0
  O X X  ,0.0
  O X X O,0.0
  O X XOX,0.0
  O X XXO,-1.0
  O XO  X,1.0
  O XO XX,0.0
  O XOX  ,0.0
  O XOXX ,-1.0
  O XOXXO,-1.0
  O XX   ,0.0
  O XX OX,0.0
  O XXO  ,1.0
  OO   XX,1.0
  OO  XX ,1.0
  OO  XXX,1.0
  OO X  X,0.0
  OO XX  ,0.0
  OO XXOX,0.0
  OO XXXO,0.0
  OOOXX X,0.0
  OOOXXX ,0.0
  OOX   X,0.0
  OOX  X ,1.0
  OOX X  ,0.0
  OOX X X,0.0
  OOX XOX,0.0
  OOX XXO,0.0
  OOXOXX ,0.0
  OOXX   ,0.0
  OOXX  X,0.0
  OOXX OX,1.0
  OOXX X ,0.0
  OOXXO X,0.0
  OOXXOXX,-1.0
  OOXXX  ,0.0
  OOXXX O,0.0
  OOXXXO ,0.0
  OOXXXXO,0.0
  OX     ,0.0
  OX    X,0.0
  OX   OX,0.0
  OX   X ,0.0
  OX   XO,0.0
  OX  O X,0.0
  OX  OX ,0.0
  OX  OXX,0.0
  OX  X  ,0.0
  OX  X O,0.0
  OX  XO ,0.0
  OX  XOX,0.0
  OX  XXO,-1.0
  OX O  X,0.0
  OX O XX,0.0
  OX OX  ,0.0
  OX OX X,0.0
  OX OXOX,1.0
  OX OXX ,0.0
  OX OXXO,-1.0
  OX X   ,0.0
  OX X  O,0.0
  OX X O ,0.0
  OX XO  ,1.0
  OX XO X,0.0
  OX XX O,0.0
  OX XXO ,0.0
  OXO   X,0.0
  OXO  X ,0.0
  OXO OXX,-1.0
  OXO X  ,1.0
  OXO XOX,1.0
  OXO XX ,0.0
  OXO XXO,0.0
  OXOO XX,1.0
  OXOOXX ,0.0
  OXOOXXX,1.0
  OXOXX  ,0.0
  OXOXXO ,0.0
  OXOXXXO,0.0
  OXX    ,0.0
  OXX   O,0.0
  OXX  O ,0.0
  OXX  XO,0.0
  OXX O  ,1.0
  OXX O X,0.0
  OXX OOX,1.0
  OXX OX ,0.0
  OXX X O,-1.0
  OXXO   ,0.0
  OXXO OX,0.0
  OXXOO X,0.0
  OXXOX  ,-1.0
  OXXOX O,-1.0
  OXXXO  ,1.0
  OXXXOOX,1.0
  X      ,0.0
  X     O,0.0
  X    O ,0.0
  X    OX,0.0
  X    XO,0.0
  X   O  ,0.0
  X   O X,0.0
  X   OOX,1.0
  X   OX ,0.0
  X   X O,0.0
  X   XO ,0.0
  X   XOO,0.0
  X  O   ,0.0
  X  O  X,0.0
  X  O OX,0.0
  X  O X ,0.0
  X  OO X,0.0
  X  OOX ,0.0
  X  OOXX,0.0
  X  OX  ,0.0
  X  OX O,1.0
  X  OXOX,0.0
  X  X  O,0.0
  X  X O ,0.0
  X  X OO,0.0
  X  XO  ,0.0
  X  XO O,0.0
  X  XOO ,1.0
  X  XOOX,1.0
  X  XOXO,0.0
  X  XXOO,0.0
  X O    ,0.0
  X O   X,0.0
  X O  OX,0.0
  X O  X ,0.0
  X O  XO,0.0
  X O O X,1.0
  X O OX ,0.0
  X O X  ,0.0
  X O X O,0.0
  X O XO ,0.0
  X O XXO,0.0
  X OOX  ,0.0
  X OOX X,-1.0
  X OOXX ,0.0
  X OX   ,0.0
  X OX  O,0.0
  X OX XO,0.0
  X OXO  ,0.0
  X OXO X,1.0
  X OXOX ,0.0
  X OXX O,0.0
  X OXXO ,0.0
  X OXXOO,0.0
  X X   O,0.0
  X X  O ,0.0
